"id","idDapil","nama","namaPartai","noUrut","originalFilename","stringJenisKelamin"
108669,10,"H. DODI SULARSO, SH","Partai Persatuan pembangunan",1,"Foto.jpg","Laki-Laki"
162019,10,"Drs. H. RAHMAD DERITA, M.Pd.I","Partai Persatuan pembangunan",2,"Foto.jpg","Laki-Laki"
255356,10,"IIN INAWATI, S.Pd","Partai Persatuan pembangunan",3,"foto (2).jpg","Perempuan"
186521,10,"Drs. H. MASRIL MUHAMMAD, MM","Partai Persatuan pembangunan",4,"Foto.jpg","Laki-Laki"
182173,10,"TOIYIBAH","Partai Persatuan pembangunan",5,"Foto.jpg","Perempuan"
156727,10,"MUHAMMAD FAJRI, SH","Partai Persatuan pembangunan",6,"Foto.jpg","Laki-Laki"
254226,10,"AHMAD SA'ID, S. Kom","Partai Persatuan pembangunan",7,"Foto.jpg","Laki-Laki"
254829,10,"DENI HARYANTI","Partai Persatuan pembangunan",8,"Foto.jpg","Perempuan"
52460,10,"PAIZAL KADNI","Partai Solidaritas Indonesia",1,"foto.jpg","Laki-Laki"
28085,10,"Ir. TIGOR GUNA HAPOSAN SINAGA","Partai Solidaritas Indonesia",2,"Foto - Ir. Tigor GH Sinaga.JPG.jpg","Laki-Laki"
37186,10,"ELA NOFITA SARI","Partai Solidaritas Indonesia",3,"Pas Foto Ela.jpg","Perempuan"
52232,10,"LAKSMI SUSIA ANALAGRA","Partai Solidaritas Indonesia",4,"foto - Laksmi Susia Analagra.jpg","Perempuan"
208866,10,"TASYA ANDHINI KARTIKA PUTRI","Partai Solidaritas Indonesia",5,"Tasya Andhini Kartika Putri - FOTO.jpeg","Perempuan"
295566,10,"MEISARINA","Partai Solidaritas Indonesia",6,"FOTO 4x6.jpg","Perempuan"
117282,10,"PITRIA NOPA ASRIANI","Partai Solidaritas Indonesia",7,"foto - pitria.jpg","Perempuan"
36263,10,"MUHAMMAD THAMRIN, SE","Partai Solidaritas Indonesia",8,"Foto 4x6.jpg","Laki-Laki"
82696,10,"H.A.BAKRI HM, SE","PARTAI AMANAT NASIONAL",1,"H. BAKRI.jpeg","Laki-Laki"
123638,10,"M. MAHILLI. HM, SH., MH","PARTAI AMANAT NASIONAL",2,"tt.jpg","Laki-Laki"
125665,10,"SITTI HASRAYANTI","PARTAI AMANAT NASIONAL",3,"SILON.JPG","Perempuan"
220334,10,"NURLAELA, SH","PARTAI AMANAT NASIONAL",4,"SILON.JPG","Perempuan"
102317,10,"JEFRI HUTAGALUNG, SE.MH","PARTAI AMANAT NASIONAL",5,"SILON.JPG","Laki-Laki"
295413,10,"Drs. H. TAMAR TAREWE","PARTAI AMANAT NASIONAL",6,"WhatsApp Image 2018-07-29 at 20.05.12.jpeg","Laki-Laki"
134601,10,"Ir. Hj. RINA RUSLI","PARTAI AMANAT NASIONAL",7,"SILON.JPG","Perempuan"
62085,10,"DIPO NURHADI ILHAM, MBA","PARTAI AMANAT NASIONAL",8,"1.JPG","Laki-Laki"
231066,10,"WILJONI","Partai Hati Nurani Rakyat",1,"01.jpg","Laki-Laki"
242955,10,"NIKENDARI LUTVIKA","Partai Hati Nurani Rakyat",2,"02.jpg","Perempuan"
253173,10,"SITI NURJANAH","Partai Hati Nurani Rakyat",3,"03.jpg","Perempuan"
302814,10,"SUPRAPTO, SP","Partai Hati Nurani Rakyat",4,"13_4.PNG","Laki-Laki"
302816,10,"PUJI ASTUTI","Partai Hati Nurani Rakyat",5,"13_5.PNG","Perempuan"
154119,10,"Drs. H. ZULFIKAR ACHMAD","PARTAI DEMOKRAT",1,"DRS H. ZULFIKAR ACHMAD.jpg","Laki-Laki"
154034,10,"H. PAUT SYAKARIN, SH","PARTAI DEMOKRAT",2,"H. PAUT SYAKARIN, SH.jpg","Laki-Laki"
153264,10,"AMANDA INDIRA RAHMADHANI","PARTAI DEMOKRAT",3,"AMANDA INDIRA RAHMADHANI.jpg","Perempuan"
154058,10,"CORNELIS BUSTON","PARTAI DEMOKRAT",4,"Cornelis Buston.jpg","Laki-Laki"
153974,10,"H. ZAINAL ABIDIN, SE","PARTAI DEMOKRAT",5,"H. ZAINAL ABIDIN, SE.jpg","Laki-Laki"
259978,10,"HENNY IRAWATI","PARTAI DEMOKRAT",6,"heni irawati.jpeg","Perempuan"
