id	idDapil	nama	namaPartai	noUrut	originalFilename	stringJenisKelamin
104811	100	SURI MAYASARI NASUTION, A.Md	Partai Kebangkitan Bangsa	1	3- 4 X 6 WARNA- SURI MAYASARI NASUTION.JPG	Perempuan
262501	100	YONGE LISTON VERWIN SIHOMBING, SE	Partai Kebangkitan Bangsa	2	4 X 6 WARNA.JPG	Laki-Laki
248554	100	ROSDIANA BUTAR BUTAR, S.Kep Ners	Partai Kebangkitan Bangsa	3	4 X 6 WARNA.JPG	Perempuan
161025	100	AGUS MARINGAN SIAHAAN, S.Kom., M.Kom	Partai Kebangkitan Bangsa	4	4 X 6 WARNA.JPG	Laki-Laki
162033	100	MANSUR PANGGABEAN	Partai Kebangkitan Bangsa	5	3- 4 X 6 WARNA-MANSUR PANGGABEAN.JPG	Laki-Laki
223752	100	WIDIATY MAHDIAH	Partai Kebangkitan Bangsa	6	4 X 6 WIDIATY.JPG	Perempuan
221016	100	TUNGGUL CE BUTAR BUTAR	Partai Kebangkitan Bangsa	7	4 x 6.jpg	Laki-Laki
159833	100	ADITYA EL AKBAR, SE	Partai Kebangkitan Bangsa	8	4 X 6 WARNA.JPG	Laki-Laki
id	idDapil	nama	namaPartai	noUrut	originalFilename	stringJenisKelamin
270460	100	BENNY GUSMAN SINAGA	PARTAI GERAKAN INDONESIA RAYA	1	photo.jpeg	Laki-Laki
276157	100	PANGIHUTAN SIAGIAN	PARTAI GERAKAN INDONESIA RAYA	2	Pangihutans.jpeg	Laki-Laki
273934	100	DRA. RESNAULI SARAGIH	PARTAI GERAKAN INDONESIA RAYA	3	4x6.jpg	Perempuan
272329	100	GUSMIYADI, SE	PARTAI GERAKAN INDONESIA RAYA	4	IMG-20180709-WA0002_4x6.jpg	Laki-Laki
274826	100	ERIK NIKSON SIHOMBING	PARTAI GERAKAN INDONESIA RAYA	5	2279 4 x 6.jpg	Laki-Laki
284077	100	JULIANA SIMATUPANG	PARTAI GERAKAN INDONESIA RAYA	6	FOTO JULIANA.jpg	Perempuan
284910	100	ARMANSYAH PASARIBU	PARTAI GERAKAN INDONESIA RAYA	7	Armansyah.jpeg	Laki-Laki
295416	100	SAFRIANI	PARTAI GERAKAN INDONESIA RAYA	8	PHOTO.jpeg	Perempuan
id	idDapil	nama	namaPartai	noUrut	originalFilename	stringJenisKelamin
25601	100	MANGAPUL PURBA, SE	PARTAI DEMOKRASI INDONESIA PERJUANGAN	1	Mangapul P.JPG	Laki-Laki
215841	100	JANTOGUH DAMANIK, S.Sos	PARTAI DEMOKRASI INDONESIA PERJUANGAN	2	JANTOGUH DAMANIK.JPG	Laki-Laki
179909	100	DOSMEGA LESTARI PURBA, S.S	PARTAI DEMOKRASI INDONESIA PERJUANGAN	3	DOSMEGA.jpg	Perempuan
177424	100	JANRI PARKINSON DAMANIK, S.Sos	PARTAI DEMOKRASI INDONESIA PERJUANGAN	4	Janri Parkinson.jpg	Laki-Laki
106468	100	AXEL SUDI JAYA SARAGIH, SE	PARTAI DEMOKRASI INDONESIA PERJUANGAN	5	axel sudi.jpg	Laki-Laki
239105	100	JULIATI SINAGA	PARTAI DEMOKRASI INDONESIA PERJUANGAN	6	juliaty 10.jpg	Perempuan
106325	100	FRANKY PARTOGI WIJAYA SIRAIT	PARTAI DEMOKRASI INDONESIA PERJUANGAN	7	franky partogi.jpg	Laki-Laki
178597	100	TIORASI HOTMIAN GULTOM	PARTAI DEMOKRASI INDONESIA PERJUANGAN	8	Tiorasi.jpg	Perempuan
id	idDapil	nama	namaPartai	noUrut	originalFilename	stringJenisKelamin
198247	100	SYAHMIDUN SARAGIH, S.Sos	Partai Golongan Karya	1	SYAHMIDUN SARAGIH.jpg	Laki-Laki
126877	100	IR. ISKANDAR SINAGA	Partai Golongan Karya	2	ISKANDAR SINAGA.jpg	Laki-Laki
262544	100	DELIMA CHRISTINA HUTABARAT	Partai Golongan Karya	3	DELIMA.jpg	Perempuan
189885	100	BENNY INDRA, SE	Partai Golongan Karya	4	BENNY INDRA.jpg	Laki-Laki
189555	100	ALFAN HOTMAN RUDI SIHOMBING, SH	Partai Golongan Karya	5	ALFAN HOTMAN RUDI SIHOMBING.jpg	Laki-Laki
202065	100	ZAINAB	Partai Golongan Karya	6	ZAINAB.jpg	Perempuan
